Inverter 1
48.438
49.709
43.45
21.81
40.586
38.411
43.349
46.177
55.901
53.97
53.503
35.464
38.836
47.769
51.653
31.862
47.584
15.219
46.293
35.632
0
39.498
48.057
41.66
46.598
47.435
36.334
24.495
49.418
43.204
44.002
0
0
51.996
53.021
47.75
35.142
46.949
40.999
28.971
23.698
38.89
40.546
48.203
27.784
43.245
11.228
17.385
10.417
5.823
42.606
51.038
16.662
33.94
36.558
34.342
41.29
52.392
54.148
53.977
34.515
32.275
17.715
8.698
42.239
40.079
42.244
40.168
36.498
35.592
43.178
43.711
18.664
7.095
34.458
42.292
45.119
50.578
41.024
41.304
36.516
33.151
29.523
43.64
33.909
36.319
35.616
23.798
14.915
8.063
6.943
26.028
39.454
41.724
48.461
42.231
30.942
23.678
27.867
34.233
13.546
39.694
38.457
17.2
35.803
32.132
40.64
27.868
35.645
22.138
37.011
20.599
8.138
23.779
29.588
47.191
40.066
17.154
9.41
3.257
20.687
48.203
22.336
32.218
39.712
19.485
35.628
28.941
42.598
35.559
34.55
53.462
38.25
42.043
46.956
7.883
0
8.258
39.237
23.771
46.389
44.859
49.56
32.24
42.774
21.753
57.555
48.139
28.104
37.299
44.069
33.977
51.905
39.461
44.552
42.243
37.13
51.883
50.097
55.352
50.641
47.428
32.32
0
47.213
46.746
54.164
52.726
52.541
52.294
52
55.701
43.986
53.176
52.741
55.41
56.65
57.135
48.583
37.717
39.597
44.288
31.455
36.081
18.485
38.03
45.558
50.82
51.386
0
56.922
52.928
45.907
0
58.477
50.791
56.02
57.814
56.708
52.808
11.56
53.051
50.278
49.078
49.699
45.796
49.871
53.55
51.181
54.801
53.449
40.007
39.432
53.758
52.755
49.238
51.033
52.177
49.403
48.921
44.921
46.02
55.425
48.679
40.862
41.036
17.831
36.029
47.866
37.494
16.147
0
0.704
41.805
35.896
34.968
26.334
8.776
0
0
0
0
0
0
42.072
39.543
41.874
45.169
40.436
48.606
45.49
32.787
18.443
40.841
20.43
31.72
18.919
18.3
33.158
45.338
48.945
48.025
48.153
40.08
41.051
46.404
45.788
34.831
29.314
39.165
44.536
45.65
38.932
20.119
42.071
39.787
39.749
43.137
9.649
0
41.184
45.206
46.45
50.758
40.904
48.043
48.654
39.792
6.722
0
16.75
20.501
27.786
37.83
45.545
44.967
48.259
47.04
42.661
36.338
0
46.71
44.878
45.954
47.493
38.218
47.168
46.489
48.147
45.832
43.292
39.08
42.224
42.02
48.752
47.949
0
23.805
41.943
44.843
42.233
40.339
47.502
44.339
43.359
50.559
43.873
43.665
41.632
41.666
38.652
49.162
40.614
38.276
32.596
29.49
30.026
40.924
0
50.435
35.727
43.379
47.566
42.5
36.856
31.515
44.493
42.149
51.618
42.732
53.219
41.173
50.412
45.006
28.614
27.199
47.383
51.954
52.769
42.123
20.157
38.575
54.993
48.753
51.801
51.331
45.705
34.779
43.972
28.903
49.567
26.781
47.777
35.248
36.727
37.933
38.244
53.996
39.427
54.849
53.841
51.015
41.421
30.839
40.658
52.969
51.004
41.598
46.625
50.327
53.757
32.864
37.17
28.082
0
